"","intercept","slope"
"Li7",0.0677003291545345,-0.000413169160946019
"B11",0.0254908790157736,0
"Mg25",0.0437423975709157,0
"Ca43",1,0
"Ti49",0.012442490700662,0
"V51",0.264020690328844,0.00124698521576357
"Cr53",0.0221246883852543,0
"Mn55",0.312277005899946,0
"Ni60",0.059357649071002,0
"Cu65",0.0596776704727641,0
"Zn66",0.0217424480537617,0
"Rb85",0.241428257927846,0
"Sr86",0.0789945691624865,0
"Y89",0.267489978729327,0
"Mo97",0.0257974053956059,0
"Cd111",0.0162361638831195,0
"Sn118",0.0994551361328895,0
"Ba138",0.364711491383383,0
"Pb208",0.231002358276199,0
"Th232",0.309802273850061,0
"U238",0.335501950457665,0
